IMT,T_equiv,median,sigma
pga,0,0.15367521955627,0.48375
0.01,0.01,0.154754719936538,0.48375
0.02,0.02,0.158076853822916,0.48375
0.03,0.03,0.169377547133227,0.4935
0.04,0.04,0.182723726582815,0.5
0.05,0.05,0.199408896167406,0.50575
0.075,0.075,0.247332354458201,0.5135
0.1,0.1,0.293055906425665,0.518
0.15,0.15,0.341885201540053,0.52225
0.2,0.2,0.336319147587156,0.52475
0.25,0.25,0.316758589893169,0.52575
0.3,0.3,0.28438384068041,0.527
0.4,0.4,0.235079900301631,0.52775
0.5,0.5,0.194103648060486,0.5295
0.75,0.75,0.129037595041627,0.53
1,1,0.110379494781479,0.52575
1.5,1.5,0.0710503432256522,0.51425
2,2,0.0480459723509204,0.50425
3,3,0.0271606572660224,0.50675
4,4,0.0176930074495814,0.5075
5,5,0.012731846346629,0.52425
7.5,7.5,0.00566541810589336,0.57725
10,10,0.00318679768456502,0.612
pgv,-1,11.256942777037,0.48375
