IMT,T_equiv,median,sigma
pga,0,0.345943338640085,0.394923239273254
0.01,0.01,0.348373437433447,0.394923239273254
0.02,0.02,0.352756254843071,0.393432616446838
0.03,0.03,0.363686509889955,0.395078370196419
0.04,0.04,0.361813896221143,0.391630048369299
0.05,0.05,0.370744840697851,0.390369830982293
0.075,0.075,0.418712049375372,0.390511813799506
0.1,0.1,0.482440839524804,0.394971481015999
0.15,0.15,0.610263312691146,0.405534664175935
0.2,0.2,0.700592199528253,0.417769333382577
0.25,0.25,0.766214417448175,0.42912376753217
0.3,0.3,0.781500556178539,0.439847516276232
0.4,0.4,0.758961689112306,0.456020738892739
0.5,0.5,0.687268243522372,0.469698437781935
0.75,0.75,0.536549598766333,0.486619434348128
1,1,0.429637049822201,0.490194498098044
1.5,1.5,0.287626762107361,0.491385827106356
2,2,0.214866948680799,0.489581457074966
3,3,0.135141845436899,0.5
4,4,0.093969939048941,0.505
5,5,0.0688081912371668,0.529
7.5,7.5,0.036262724485836,0.579
10,10,0.0219695709708992,0.612
pgv,-1,53.7102048808487,0.438355079333463
