IMT,T_equiv,median,sigma
pga,0,0.276910150960536,0.425419989107444
0.01,0.01,0.27885532217373,0.425419989107444
0.02,0.02,0.282869288842163,0.423886710206274
0.03,0.03,0.297396067587883,0.426996241957719
0.04,0.04,0.308211028853992,0.424257377430267
0.05,0.05,0.325949055926464,0.423192959342846
0.075,0.075,0.383914373761933,0.422705577203898
0.1,0.1,0.448575471814494,0.426199138262761
0.15,0.15,0.543648035214895,0.43641494972743
0.2,0.2,0.580558750385468,0.448405005382304
0.25,0.25,0.590518281099609,0.459512155989775
0.3,0.3,0.566726102572163,0.469883328164886
0.4,0.4,0.50609306131265,0.484957518234135
0.5,0.5,0.430089001457639,0.497176226211995
0.75,0.75,0.301066935887835,0.511908233391923
1,1,0.223905844781716,0.51383206266264
1.5,1.5,0.133595039604755,0.509063175545412
2,2,0.0918997811011685,0.502947989781075
3,3,0.0487901164595624,0.50675
4,4,0.0301569967916865,0.5075
5,5,0.0201544228340425,0.52425
7.5,7.5,0.00789179570086677,0.57725
10,10,0.00405438367641557,0.612
pgv,-1,22.5490892562241,0.469780824382481
